Date,VX_CONT
2013-01-02,20.44
2013-01-03,20.4
2013-01-04,20.24
2013-01-07,20.34
2013-01-08,20.17
2013-01-09,20.04
2013-01-10,19.89
2013-01-11,19.68
2013-01-14,19.54
2013-01-15,19.53
2013-01-16,19.33
2013-01-17,19.07
2013-01-18,18.44
2013-01-22,17.79
2013-01-23,17.6
2013-01-24,17.54
2013-01-25,17.43
2013-01-28,17.51
2013-01-29,17.32
2013-01-30,17.68
2013-01-31,17.81
2013-02-01,17.72
2013-02-04,17.88
2013-02-05,17.76
2013-02-06,17.63
2013-02-07,17.54
2013-02-08,17.31
2013-02-11,17.08
2013-02-12,16.98
2013-02-13,17.02
2013-02-14,17.04
2013-02-15,17.09
2013-02-19,16.54
2013-02-20,17.14
2013-02-21,17.27
2013-02-22,17.0
2013-02-25,17.96
2013-02-26,17.9
2013-02-27,17.11
2013-02-28,17.49
2013-03-01,17.59
2013-03-04,17.13
2013-03-05,16.89
2013-03-06,16.83
2013-03-07,16.68
2013-03-08,16.63
2013-03-11,16.4
2013-03-12,16.53
2013-03-13,16.58
2013-03-14,16.52
2013-03-15,16.65
2013-03-18,16.93
2013-03-19,16.98
2013-03-20,16.7
2013-03-21,16.92
2013-03-22,16.88
2013-03-25,16.67
2013-03-26,16.53
2013-03-27,16.62
2013-03-28,16.57
2013-04-01,16.67
2013-04-02,16.34
2013-04-03,16.48
2013-04-04,16.47
2013-04-05,16.42
2013-04-08,16.02
2013-04-09,15.92
2013-04-10,15.52
2013-04-11,15.42
2013-04-12,15.28
2013-04-15,16.8
2013-04-16,15.67
2013-04-17,16.71
2013-04-18,17.46
2013-04-19,16.77
2013-04-22,16.07
2013-04-23,15.37
2013-04-24,15.37
2013-04-25,15.47
2013-04-26,15.6
2013-04-29,15.53
2013-04-30,15.37
2013-05-01,15.92
2013-05-02,15.48
2013-05-03,15.22
2013-05-06,14.93
2013-05-07,14.87
2013-05-08,15.08
2013-05-09,15.32
2013-05-10,15.08
2013-05-13,15.08
2013-05-14,15.03
2013-05-15,15.13
2013-05-16,15.33
2013-05-17,15.07
2013-05-20,16.21
2013-05-21,16.45
2013-05-22,16.39
2013-05-23,16.53
2013-05-24,16.47
2013-05-28,16.32
2013-05-29,16.39
2013-05-30,16.52
2013-05-31,17.11
2013-06-03,16.98
2013-06-04,17.07
2013-06-05,17.66
2013-06-06,17.23
2013-06-07,16.88
2013-06-10,16.68
2013-06-11,17.56
2013-06-12,18.53
2013-06-13,17.69
2013-06-14,18.28
2013-06-17,18.5
2013-06-18,18.3
2013-06-19,18.33
2013-06-20,19.43
2013-06-21,19.38
2013-06-24,20.28
2013-06-25,19.93
2013-06-26,19.58
2013-06-27,19.03
2013-06-28,18.89
2013-07-01,18.45
2013-07-02,18.43
2013-07-03,18.33
2013-07-05,17.42
2013-07-08,16.73
2013-07-09,16.64
2013-07-10,16.32
2013-07-11,16.04
2013-07-12,16.17
2013-07-15,15.73
2013-07-16,16.15
2013-07-17,15.55
2013-07-18,15.42
2013-07-19,14.86
2013-07-22,16.18
2013-07-23,16.12
2013-07-24,16.17
2013-07-25,15.87
2013-07-26,15.83
2013-07-29,15.93
2013-07-30,15.68
2013-07-31,15.38
2013-08-01,15.02
2013-08-02,14.62
2013-08-05,14.43
2013-08-06,14.82
2013-08-07,15.03
2013-08-08,14.81
2013-08-09,15.17
2013-08-12,14.96
2013-08-13,14.88
2013-08-14,15.13
2013-08-15,15.71
2013-08-16,15.57
2013-08-19,16.86
2013-08-20,16.66
2013-08-21,16.93
2013-08-22,16.38
2013-08-23,16.21
2013-08-26,16.67
2013-08-27,17.85
2013-08-28,17.93
2013-08-29,17.92
2013-08-30,18.12
2013-09-03,17.62
2013-09-04,17.53
2013-09-05,17.37
2013-09-06,17.48
2013-09-09,16.77
2013-09-10,16.32
2013-09-11,15.72
2013-09-12,15.77
2013-09-13,15.76
2013-09-16,16.4
2013-09-17,16.25
2013-09-18,15.91
2013-09-19,15.87
2013-09-20,16.12
2013-09-23,16.38
2013-09-24,16.23
2013-09-25,16.18
2013-09-26,15.92
2013-09-27,16.33
2013-09-30,16.88
2013-10-01,16.21
2013-10-02,16.88
2013-10-03,17.43
2013-10-04,16.99
2013-10-07,18.34
2013-10-08,19.08
2013-10-09,18.7
2013-10-10,16.85
2013-10-11,16.38
2013-10-14,16.62
2013-10-15,17.27
2013-10-16,15.55
2013-10-17,14.52
2013-10-18,14.33
2013-10-21,15.48
2013-10-22,15.52
2013-10-23,15.53
2013-10-24,15.43
2013-10-25,15.48
2013-10-28,15.48
2013-10-29,15.49
2013-10-30,15.54
2013-10-31,15.48
2013-11-01,15.58
2013-11-04,15.07
2013-11-05,15.18
2013-11-06,14.92
2013-11-07,15.38
2013-11-08,14.82
2013-11-11,14.73
2013-11-12,14.79
2013-11-13,14.62
2013-11-14,14.58
2013-11-15,14.32
2013-11-18,16.12
2013-11-19,16.37
2013-11-20,15.99
2013-11-21,15.49
2013-11-22,15.18
2013-11-25,15.02
2013-11-26,14.99
2013-11-27,15.09
2013-11-29,15.13
2013-12-02,15.18
2013-12-03,15.48
2013-12-04,15.38
2013-12-05,15.48
2013-12-06,14.99
2013-12-09,14.78
2013-12-10,14.88
2013-12-11,15.43
2013-12-12,15.48
2013-12-13,15.49
2013-12-16,15.74
2013-12-17,15.53
2013-12-18,14.49
